	nb_total_faux_a	intensite_milieuV_mean_a	nb_faux_a_intensite_milieuV_bas	nb_faux_a_intensite_milieuV_eleve	tendance_a	nb_total_faux_A	intensite_milieuV_mean_A	nb_faux_A_intensite_milieuV_bas	nb_faux_A_intensite_milieuV_eleve	tendance_A
26_11_07_nb1_1_16	2	60.76976100175447	0	2	eleve	2	52.19474959922316	2	0	bas
26_11_07_nb2_1_16	4	64.25524975678832	3	1	bas	4	61.297741990176334	1	3	eleve
26_11_07_nb1_2_16	4	63.25760398709327	1	3	eleve	3	56.26713782370602	1	2	eleve
26_11_07_nb2_2_16	1	69.93782285603207	1	0	bas	0	67.5404799273926	0	0	null
26_11_07_nb3_1_16	2	67.29922068436711	2	0	bas	3	63.95801949754222	0	3	eleve
26_11_07_nb3_2_16	1	59.34319186517491	1	0	bas	4	54.370495868770725	0	4	eleve
27_11_07_nb1_1_16	2	63.51296594361945	1	1	egal	1	58.88717252267371	0	1	eleve
27_11_07_nb1_2_16	1	63.222495316131265	0	1	eleve	0	56.09489381462582	0	0	null
27_11_07_nb2_1_16	1	60.055725213561225	1	0	bas	4	50.96961001154331	2	2	egal
27_11_07_nb2_2_16	4	58.32148434182352	2	2	egal	1	56.76092085233624	0	1	eleve
28_11_07_nb1_1_16	0	68.85857470573401	0	0	null	8	64.02787567239045	3	5	eleve
28_11_07_nb1_2_16	1	66.40988333169196	1	0	bas	5	63.81121622563744	1	4	eleve
28_11_07_nb2_1_16	7	60.20805538518784	3	4	eleve	2	60.006867425468236	1	1	egal
28_11_07_nb2_2_16	0	58.521245663756766	0	0	null	7	52.67341789932649	2	5	eleve
29_11_07_nb1_2_16	2	67.18886361017718	2	0	bas	16	66.0254460329281	4	12	eleve
29_11_07_nb2_1_16	4	65.54133280417277	3	1	bas	4	63.10044440388337	2	2	egal
29_11_07_nb2_2_16	7	65.88698978983935	7	0	bas	2	62.12360135471088	1	1	egal
30_11_07_nb1_1_16	9	69.8798479995255	7	2	bas	6	68.93559694219549	2	4	eleve
30_11_07_nb1_2_16	4	70.57908340107409	3	1	bas	1	62.994956751531106	0	1	eleve
05_12_07_nb1_1_16	9	70.46151931395899	4	5	eleve	2	70.10534089649401	1	1	egal
05_12_07_nb1_2_16	4	67.33052626469679	2	2	egal	1	62.15050111718851	0	1	eleve
14_11_07_nb1_1_16	0	61.91182612858397	0	0	null	14	59.39679404865375	8	6	bas
14_11_07_nb1_2_16	6	52.55906148266868	6	0	bas	5	52.135577059514624	2	3	eleve
14_11_07_nb2_1_16	7	61.04124958772552	4	3	bas	2	58.37960661278723	1	1	egal
14_11_07_nb2_2_16	4	56.73786470327399	3	1	bas	7	49.000667920663446	4	3	bas
16_11_07_nb1_1_16	3	69.68696762077522	2	1	bas	5	61.007547274790404	1	4	eleve
16_11_07_nb1_2_16	6	64.12753311275883	3	3	egal	1	55.743207601374046	0	1	eleve
16_11_07_nb2_1_16	2	55.05904004230882	2	0	bas	0	49.52158585306944	0	0	null
16_11_07_nb2_2_16	1	49.087088595450886	1	0	bas	7	44.63342245799523	3	4	eleve
20_11_07_nb1_1_16	1	65.48521311245214	1	0	bas	6	62.1480244040971	0	6	eleve
20_11_07_nb1_2_16	5	61.97732941756809	4	1	bas	3	56.754700388489134	0	3	eleve
22_11_07_nb1_1_16	2	64.94594080854883	1	1	egal	6	62.11398215447029	2	4	eleve
22_11_07_nb1_2_16	1	61.83046144751561	1	0	bas	5	60.140501575917654	2	3	eleve
22_11_07_nb2_1_16	1	63.37464345873987	1	0	bas	2	58.204621574379956	0	2	eleve
22_11_07_nb2_2_16	3	71.53107167272046	1	2	eleve	4	59.53459771288179	0	4	eleve
23_11_07_nb1_1_16	5	59.77780045752101	4	1	bas	4	58.99567413968578	3	1	bas
23_11_07_nb1_2_16	5	60.36667353543848	3	2	bas	3	58.57466038182662	1	2	eleve
03_12_07_nb1_1_16	7	60.17845159841055	6	1	bas	2	58.09121727179318	2	0	bas
03_12_07_nb1_2_16	3	68.52706671005163	2	1	bas	8	62.486253728541975	2	6	eleve
04_12_07_nb1_1_16	1	69.59006397606836	1	0	bas	6	65.34710442004081	4	2	bas
04_12_07_nb1_2_16	3	73.58656516937951	1	2	eleve	1	66.12148495119902	1	0	bas
04_12_07_nb2_1_16	6	69.79593644931622	6	0	bas	2	62.72992101989843	2	0	bas
04_12_07_nb2_2_16	8	68.8966794247399	5	3	bas	3	61.81525818496822	1	2	eleve
04_12_07_nb3_1_16	6	61.16308512747729	6	0	bas	4	59.680009196633314	3	1	bas
04_12_07_nb3_2_16	4	60.89668045227368	3	1	bas	6	62.890224181470956	2	4	eleve
