	nb_total_faux_a	nb_faux_a_court	nb_faux_a_long	tendance_a	nb_total_faux_A	nb_faux_A_court	nb_faux_A_long	tendance_A
28_11_07_nb2_1_16	50	18	32	long	16	11	5	court
28_11_07_nb2_2_16	14	3	11	long	24	9	15	long
29_11_07_nb1_2_16	31	9	22	long	47	24	23	court
29_11_07_nb2_1_16	41	18	23	long	26	0	26	long
29_11_07_nb2_2_16	30	15	15	egal	12	0	12	long
30_11_07_nb1_1_16	37	16	21	long	34	7	27	long
30_11_07_nb1_2_16	34	3	31	long	14	4	10	long
27_11_07_nb1_1_16	33	8	25	long	13	0	13	long
27_11_07_nb1_2_16	15	4	11	long	21	3	18	long
27_11_07_nb2_1_16	27	5	22	long	18	0	18	long
27_11_07_nb2_2_16	30	7	23	long	9	2	7	long
28_11_07_nb1_1_16	12	2	10	long	22	10	12	long
28_11_07_nb1_2_16	31	8	23	long	13	10	3	court
26_11_07_nb1_1_16	22	9	13	long	8	1	7	long
26_11_07_nb1_2_16	29	11	18	long	25	14	11	court
26_11_07_nb2_1_16	31	13	18	long	20	9	11	long
26_11_07_nb2_2_16	34	11	23	long	10	2	8	long
26_11_07_nb3_1_16	14	5	9	long	21	9	12	long
26_11_07_nb3_2_16	21	4	17	long	34	0	34	long
22_11_07_nb1_1_16	22	8	14	long	15	0	15	long
22_11_07_nb1_2_16	24	7	17	long	36	18	18	egal
22_11_07_nb2_1_16	22	5	17	long	30	11	19	long
22_11_07_nb2_2_16	17	10	7	court	26	4	22	long
23_11_07_nb1_1_16	18	8	10	long	9	3	6	long
23_11_07_nb1_2_16	21	12	9	court	17	9	8	court
16_11_07_nb1_1_16	22	7	15	long	14	7	7	egal
16_11_07_nb1_2_16	21	11	10	court	14	6	8	long
16_11_07_nb2_1_16	23	10	13	long	14	1	13	long
16_11_07_nb2_2_16	18	11	7	court	22	7	15	long
20_11_07_nb1_1_16	26	7	19	long	31	7	24	long
20_11_07_nb1_2_16	13	7	6	court	13	0	13	long
05_12_07_nb1_1_16	26	11	15	long	21	8	13	long
05_12_07_nb1_2_16	23	11	12	long	16	7	9	long
14_11_07_nb1_1_16	16	4	12	long	38	7	31	long
14_11_07_nb1_2_16	39	16	23	long	23	8	15	long
14_11_07_nb2_1_16	49	31	18	court	17	1	16	long
14_11_07_nb2_2_16	29	12	17	long	31	7	24	long
04_12_07_nb1_1_16	28	9	19	long	23	4	19	long
04_12_07_nb1_2_16	19	13	6	court	5	2	3	long
04_12_07_nb2_1_16	39	7	32	long	7	0	7	long
04_12_07_nb2_2_16	18	10	8	court	21	12	9	court
04_12_07_nb3_1_16	37	14	23	long	16	0	16	long
04_12_07_nb3_2_16	21	9	12	long	19	0	19	long
03_12_07_nb1_1_16	49	24	25	long	21	8	13	long
03_12_07_nb1_2_16	28	8	20	long	20	14	6	court
