	nb_total_faux_a	f0_milieuV_mean_a	nb_faux_a_f0_milieuV_bas	nb_faux_a_f0_milieuV_eleve	tendance_a	nb_total_faux_A	f0_milieuV_mean_A	nb_faux_A_f0_milieuV_bas	nb_faux_A_f0_milieuV_eleve	tendance_A
28_11_07_nb2_1_16	50	105.40331013239563	23	27	eleve	16	105.37260618974315	6	10	eleve
28_11_07_nb2_2_16	14	96.52470226824366	5	9	eleve	24	93.32054824987355	2	22	eleve
29_11_07_nb1_2_16	31	179.68840549622286	10	21	eleve	47	214.50186575156462	16	31	eleve
29_11_07_nb2_1_16	41	117.39197991550958	26	15	bas	26	116.38520240920228	5	21	eleve
29_11_07_nb2_2_16	30	110.77027805285132	13	17	eleve	12	113.11637715671456	4	8	eleve
30_11_07_nb1_1_16	37	148.59620336090222	20	17	bas	34	163.17103964757126	20	14	bas
30_11_07_nb1_2_16	34	129.26939422579096	19	15	bas	14	127.71351843067276	4	10	eleve
27_11_07_nb1_1_16	33	194.4810043473185	13	20	eleve	13	195.61213425448958	6	7	eleve
27_11_07_nb1_2_16	15	205.42786837485122	12	3	bas	21	196.79830778267663	7	14	eleve
27_11_07_nb2_1_16	27	206.2583801963734	13	14	eleve	18	185.72294422617972	3	15	eleve
27_11_07_nb2_2_16	30	217.9320753837735	10	20	eleve	9	211.6947351837557	3	6	eleve
28_11_07_nb1_1_16	12	196.60538072626093	4	8	eleve	22	178.2795582573283	7	15	eleve
28_11_07_nb1_2_16	31	180.33403947202055	8	23	eleve	13	199.35582362555857	3	10	eleve
26_11_07_nb1_1_16	22	116.28578279606535	17	5	bas	8	84.88643714195813	4	4	egal
26_11_07_nb1_2_16	29	96.5698398650915	7	22	eleve	25	88.40113253242185	1	24	eleve
26_11_07_nb2_1_16	31	242.57548207692855	14	17	eleve	20	271.26981487992896	9	11	eleve
26_11_07_nb2_2_16	34	201.39380595984792	11	23	eleve	10	179.61025838874116	3	7	eleve
26_11_07_nb3_1_16	14	141.6989878940627	7	7	egal	21	142.54078939647167	10	11	eleve
26_11_07_nb3_2_16	21	119.1503981352973	13	8	bas	34	106.00780962782669	10	24	eleve
22_11_07_nb1_1_16	22	208.8706617258606	9	13	eleve	15	208.52992995103855	4	11	eleve
22_11_07_nb1_2_16	24	187.70495980841707	8	16	eleve	36	207.16235792516633	12	24	eleve
22_11_07_nb2_1_16	22	183.84107621949522	6	16	eleve	30	173.63657462547027	5	25	eleve
22_11_07_nb2_2_16	17	236.57879366956146	9	8	bas	26	220.13392604308294	14	12	bas
23_11_07_nb1_1_16	18	217.16901670744764	5	13	eleve	9	231.28937977921163	3	6	eleve
23_11_07_nb1_2_16	21	201.57205459577946	11	10	bas	17	206.39148701932845	9	8	bas
16_11_07_nb1_1_16	22	222.17868539187555	14	8	bas	14	217.31702533016474	4	10	eleve
16_11_07_nb1_2_16	21	199.6184738889863	8	13	eleve	14	185.04687551369915	4	10	eleve
16_11_07_nb2_1_16	23	190.12906209635526	13	10	bas	14	164.8526841742449	2	12	eleve
16_11_07_nb2_2_16	18	227.90397349470933	9	9	egal	22	233.71967499323637	7	15	eleve
20_11_07_nb1_1_16	26	211.16308342029356	9	17	eleve	31	206.36976345595892	3	28	eleve
20_11_07_nb1_2_16	13	184.27226593914742	7	6	bas	13	202.19553983548673	3	10	eleve
05_12_07_nb1_1_16	26	112.39564805590112	8	18	eleve	21	117.62817299583668	7	14	eleve
05_12_07_nb1_2_16	23	116.47742878768433	10	13	eleve	16	125.619852038671	7	9	eleve
14_11_07_nb1_1_16	16	101.30838892115888	8	8	egal	38	83.67459541805914	11	27	eleve
14_11_07_nb1_2_16	39	86.43400903809916	14	25	eleve	23	72.45885810938856	5	18	eleve
14_11_07_nb2_1_16	49	125.99648998710376	23	26	eleve	17	108.78909466118277	11	6	bas
14_11_07_nb2_2_16	29	99.68942573049168	11	18	eleve	31	101.78014113330649	9	22	eleve
04_12_07_nb1_1_16	28	134.12408595938808	11	17	eleve	23	119.78572389344404	15	8	bas
04_12_07_nb1_2_16	19	145.38825349503057	11	8	bas	5	143.54693285268286	0	5	eleve
04_12_07_nb2_1_16	39	97.31280267043856	18	21	eleve	7	86.31580530246815	1	6	eleve
04_12_07_nb2_2_16	18	116.27289461712735	4	14	eleve	21	110.90975548571721	9	12	eleve
04_12_07_nb3_1_16	37	98.78544304231302	18	19	eleve	16	95.39318602715407	6	10	eleve
04_12_07_nb3_2_16	21	100.35644889098725	5	16	eleve	19	85.08816627295447	4	15	eleve
03_12_07_nb1_1_16	49	113.96205086798028	22	27	eleve	21	113.87698499688373	14	7	bas
03_12_07_nb1_2_16	28	122.53686061525458	17	11	bas	20	111.81445252206998	8	12	eleve
